Published,User,Comment
2023-11-22T07:24:59Z,@agoenxsaz725,"Jadi ingat peristiwa black September 1970 warga Yordania menerima pengungsi Palestina,yang akhirnya warganya semakin banyak bhkan sampai disebut negara didalam negera , sampai mncoba 2 kali kudeta raja Yordania.. Naidzubillah mindzalik"
2023-11-22T05:54:40Z,@WahyuDenden-wg5sr,Takutnya nanti malah jadi masah di indonesia nanti mereka meyebar bagaimana nantinnya akan menyaingi warga indobesia sendiri
2023-11-22T04:04:38Z,@shahrol6747,"Lebih baik dihalau.. Kerana mereka ini bangsa yg kurang ajar.. Mereka dibunuh di myammar bukan kerana mereka islam tetapi kerana mereka kurang ajar, asal mereka dari Pakistan dan mungkin mereka sering dihalau kerana mereka adalah bangsa kurang ajar.."
2023-11-22T02:10:14Z,@ifahoryza6739,Sebenarnya sedih juga tp MW gmna lg😢
2023-11-22T01:21:23Z,@yayariswayakuya4175,SEMOGA DI BALAS DENGAN AZAB TSUNAMI KEDUA YANG LEBIH GANAS
2023-11-21T16:59:29Z,@nyanadarmaanderson2582,"Warga Aceh sgt baik dan berhati mulia, dahulu kala inisiatif menarik mereka dari laut ke daratan walaupun belum ada izin negara, demi kemanusiaan dan Saudara SATU IMAN. <br>Semoga berkelanjutan dan pahala besar akan datang dari Tuhan yang maha Esa.<br>Amin…!!!"
2023-11-21T15:57:35Z,@nanangnanang4542,Hati hati saja jangan asal menerima efek kelanjutan harus diperhatikan
2023-11-21T14:51:33Z,@rizkyputriseptihandini6063,"Yang jadi wni aja mau tinggal harus beli tanah dan rumah, eh wna seenaknya mau numpang.. enak aja"
2023-11-21T14:29:52Z,@alizaralizarali2181,"Warga Aceh sudah sangat baik sudah ribuan warga Rohingya di tampung, gak akan sanggup warga Aceh jika selalu ada lagi yg di tampung..bagi warga Rohingya yang gak bisa di tampung lebih baik silahkan cari negara lain"
2023-11-21T08:18:34Z,@armanaku3423,inilah tuhan mmberi ujian pd makluknya. sejauh mana..hati tergugah menghadapi..insan  seagama..yng sngt menyedihkan inii..rl tinggl kan kmpung..menggadai nyawa  hnya ingin  smbung hidup...smg pemerintah  peduli  atas nasib mereka... mg tuhan mmbuka jlan.  bg makluknya yng lg kesusahaan.
2023-11-21T07:06:14Z,@niaramadani4594,Y usir&quot;.... Ajh 🤗👍👍👍👍👍 cakepppp masyarakat aceh pinter banget 👍👍👍👍🤗
2023-11-21T03:41:05Z,@ADF11,Usir Rohing nya..di aceh jangan sampai pribumi di campur.baur dgn mereka BISA rusak.keturunan kita sbg bangsa indonesia.<br>Pertahankan tanah pribumi dari ASING.<br>Jangan mau di bodohi dgn saudara seiman..<br>Harus tegas usir penjajah ROHING NYA.dan siapapun itu di tanah indonesia.
2023-11-21T02:49:33Z,@belarosma4902,"Kasihan, tapi mereka sudah di bantu malah bikin gak enak warga setempat, Ya Allah mudah mudahan mereka dapat tempat yang cocok dengan mereka tuk bisa menjalani kehidupan mereka. Mudah mudahan PBB merhatikan mereka."
2023-11-21T00:16:07Z,@revochanel1542,"Pindah kan aja kepulau yang masih belum ada penghuninya, lalu bantu mereka untuk membangun kehidupan disana"
2023-11-20T17:24:30Z,@sems3037,Exsodus 😂 lama lama ia akan menggeser penduduk asli pribumi wkw
2023-11-20T17:22:03Z,@lasmisohail4905,Berarti Ada ketua nya kalau sampai berulang x sperti jaringan karena tau orang Indonesia itu baik2 sementara mereka Itu tdk baik kalau Di ksh hati minta jantung
2023-11-20T17:18:59Z,@pureenlightmen,Disuruh balik ke laut? Lanjut ke saja cari negara Kristen.... Tapi di semenanjung melayu gak ada negara kristen. 😢
2023-11-20T15:17:41Z,@satria88entertainment40,Kyaknya yg komen orang non muslim semua
2023-11-20T12:47:02Z,@user-jf1ol3ws8g,MOHON MAAF YA UMATKU DARI ROHANIYA....SEKARANG MEMANG ALLAH SWT ASLI MASIH MENGHADAPI KASUS KASUSNYA NAMA NAMA ALLAH PALSU....SEHINGGA BANTUAN ALLAH SWT ASLI. TERHADAP UMAT NYA LAMBAT....
2023-11-20T12:40:46Z,@user-jf1ol3ws8g,MEMANG ORANG ACEH UTARA  DASAR ORANG BODOH....SALAM KOMENTAR DARI ATASAN KOMANDO INTEL JEND NAMA ALLAH SWT ASLI....2023......KALAU AMALNYA ORANG ACEH. BELUM CUKUP AMALNYA....ALLAH SWT ASLI AKAN MENGUSIR ORANG ACEH UTUARA DARI TANAH INI...INGAT ITU....
2023-11-20T10:59:16Z,@patanganteng3125,"Sebetulnya kasihan juga ,tapi indonesia harus hati hati kalsu dana menerina nereka du dini yakutnys mrmbawa masalah di yg akan datangm"
2023-11-20T10:30:40Z,@user-bq1im5pc5k,Manusia jg bah tuu.uu.u
2023-11-20T09:11:34Z,@edwinmony5663,Hati hati jangan begitu percaya kepada orang imigran dr negara lain ..jangan sampai rakyat pribumi indonesia d jajah secara perlahan oleh imigran dr negara lain.
2023-11-20T06:25:11Z,@koboi_tanah5874,😂😂haha ...dulu hina malaysia😂sekarang😂😂
2023-11-20T05:52:40Z,@ebegmedia3288,"Ya ampun itu hama datang lagi , sudah di tolak ko maksa , itu namanya perampokan , tidak pantas bagi umat muslim memaksa yg  jelas jelas tek memperbolehkan .hukumnya haram"
2023-11-20T05:50:36Z,@eddiebrock5408,bom aja di tengah laut bgst bikin gedeg aja
2023-11-20T05:43:41Z,@warjito9217,Bagus warga aceh tolak aja bukan masalah kemanusiaan atau apa tapi kalo merekah sampe tinggal di aceh pasti besar hati dan semena mena duluh aku satu penjara migrasi malasia ketemu dengan warga rohingiya sombongnya bukan main dia ran teman temanya selalu bikin rusuh supaya dia tetep bisa di dalam penjara sebab dia kallo balik kampung pasti di tembak
2023-11-20T04:53:37Z,@MBOKRT,MANTAP TOLAK SAJA
2023-11-20T03:12:29Z,@bitbitbitbit,katanya saudara seiman kok gitu sih😂
2023-11-20T01:55:39Z,@user-du3ky3nu7r,"Hati hati warga aceh, takut di jajah"
2023-11-20T01:50:44Z,@thelion706,"Betapa hebatnya Myanmar sekian puluh tahun &quot;dijajah&quot; Rohingya.  Saat Myanmar mengatakan &quot;enogh is enough&quot; dan mengusir Rohingya agar balik ke Bangladesh,  Ind yg mayoritas muslim marah dan minta agar Rohingya diterima di Ind. Dan Aceh salah satu yg berkeras menerima. Dan skrg Aceh yg berkeras menolak Rohingya. Stlh mengalami langsung br tahu."
2023-11-20T00:16:54Z,@timnasgaruda1545,"Muslim rohingya di nilai sangat merepotkan warga Aceh,begitu juga dengan palestina,sangat merepot kan,mungkin itu lah yg di rasakan warga Aceh"
2023-11-19T23:53:40Z,@vladimirbojinov7531,"Dulu Yahudi sehabis PDII seperti mereka saat datang ke Palestina, lama², tau sendiri kan?"
2023-11-19T23:50:29Z,@Top_global01,"Ketakutan yang berlebihan hingga menolak mereka yang membutuhkan pertolongan.<br>Sementara mereka kaum muslimin saudara kita.<br>Kalau bukan kita yang menolong,lalu siapa????<br>Tidak adakah Pulau kosong yang bisa mereka huni,atau lahan kosong pemerintah untuk mereka hidup??<br>Atau tidak adakah solusi tepat untuk mereka,selain menolak mereka.<br>Jangan buat malu bangsa muslim terbesar di DUNIA 😢😢😢"
2023-11-19T22:59:44Z,@azamazam7719,Biadap acehhhhh
2023-11-19T20:08:02Z,@ugbadomar5881,سبحان الله وبحمد سبحان الله العظيم
2023-11-19T19:12:16Z,@edhoyeager,"AKU PUNYA IDE, INDONESIA KAN MEMPUNYAI RIBUAN PULAU, LALU BERI MEREKA 1 PULAU KOSONG UNTUK JADI TEMPAT TINGGAL MEREKA LALU KASIH MEREKA MERDEKA ,KAN TUJUAN ROHINGYA INGIN KAWASAN DAN INGIN MERDEKA.<br><br>JADIKAN PULAU ITU NEGARA TAPI SISTEM PEMERINTAHAN DAN PRESIDEN HARUS DIPEGANG KENDALI OLEH ORANG INDONESIA.<br><br>CONTOH KASIH NAMA NEGARA REPUBLIK BANGLADO, NEGARA SEMAKMURAN INDONESIA, DAN HARUS PAKAI BAHASA INDONESIA.<br><br>GUA SIH YAKIN NEGARA BANGLADO BISA MENYAINGIN SINGAPORE😎👍"
2023-11-19T19:09:27Z,@userbaru5358,hallo apakah kasihanmu besok di balas kasihn jg .....nononono dia kn jd penggusur warga pribumimu.hari gini mikir belas kasihn ...😂😂😂
2023-11-19T18:45:18Z,@putunembahkakung4953,"Komen di YT lebih waras dari pada yg di FB, banyak orang² sok bijak di FB"
2023-11-19T18:25:39Z,@MahdanLubis,Bom aja pengungsi itu
2023-11-19T18:17:35Z,@handsomemonkey9282,"Dulunya warga Aceh sangat antusias membantu pengungsi Rohingya, tapi lama kelamaan jadi kesal karena sulit diatur dan mereka cenderung mencela Indonesia dengan membandingkannya dengan Australia yg katanya kalau jadi warga negara Australia hidupnya akan lebih mapan.<br>Tapi syukur lah masyarakat masih berbaik hati dengan memberi mereka bekal."
2023-11-19T18:12:03Z,@lulin131,kalo terjadi apa&quot; Mereka diatas laut setelah kalian usir dunia ahirat kalian akan sangat berdoza
2023-11-19T17:53:08Z,@virgotekcomputer,Sekarang kalian tahu alasan negara-negara Arab di sekeliling Palestina yang menolak pengungsi dari Palestina.  Untunglah ada contoh nya untuk ngajarin orang-orang yang teriak-teriak Free Palestine.
2023-11-19T17:07:20Z,@ropik3376,ya allah sedih rasanya...smoga bangsa indo selalu sejahtra tidak seperti mereka.dan merekq semoga punya tempat yg layak.
2023-11-19T16:57:16Z,@arifrahmat8717,"Orang indonesia cenderung membela orang palestina secara mati-matian. Tapi kenapa orang rohingnya yg mau jadi pengungsi malah diusir? Padahal kan mereka banyak kesamaannya, seperti:<br><br>1. Etnis rohingya dan orang palestina sama-sama beragama islam.<br>2. Etnis rohingya dan orang palestina sama-sama terancam di negaranya sendiri.<br>3. Etnis rohingya dan orang palestina sama-sama hanya ingin bebas dari malapetaka yang disebabkan oleh konflik/peperangan.<br><br>Berdasarkan keterangan di atas, saya menjadi semakin bingung mengapa bisa ada dua jenis perlakuan yg berbeda dalam kondisi yang sama."
2023-11-19T16:39:29Z,@upstory2024,Pengungsi palestina pun harus di tolak
2023-11-19T16:01:31Z,@HailtoTheKing874,"Usir jgn dikasi tempat.<br>Itu semua kumpulan manusia biadab,ditolong skrg esok dibunuhnya kalian.suruh mereka mengungsi ke tmpat lain,jgn sekali² dikasi tempat."
